iter	Passed	Remaining
0	0	33
1	0	30
2	0	29
3	1	31
4	1	31
5	2	31
6	2	31
7	2	31
8	3	30
9	3	30
10	3	29
11	4	29
12	4	29
13	4	28
14	4	28
15	5	27
16	5	27
17	5	26
18	6	26
19	6	25
20	6	25
21	7	25
22	7	25
23	7	25
24	8	24
25	8	24
26	8	23
27	9	23
28	9	23
29	10	23
30	10	23
31	10	22
32	11	22
33	11	22
34	11	22
35	12	21
36	12	21
37	12	20
38	13	20
39	13	20
40	14	20
41	14	20
42	14	19
43	15	19
44	15	18
45	15	18
46	16	18
47	16	17
48	16	17
49	17	17
50	17	16
51	17	16
52	18	16
53	18	15
54	18	15
55	19	15
56	20	15
57	20	14
58	20	14
59	21	14
60	21	13
61	21	13
62	22	12
63	22	12
64	22	12
65	23	11
66	24	11
67	24	11
68	24	11
69	25	10
70	25	10
71	25	10
72	26	9
73	26	9
74	27	9
75	27	8
76	27	8
77	28	7
78	28	7
79	28	7
80	29	6
81	29	6
82	29	6
83	30	5
84	30	5
85	30	5
86	31	4
87	31	4
88	32	3
89	32	3
90	32	3
91	33	2
92	33	2
93	33	2
94	34	1
95	34	1
96	35	1
97	35	0
98	35	0
99	35	0
